county_name,year,supersector,total_annual_wages,annual_avg_emplvl,avg_annual_pay,in_core_11
Cherokee,2017,Financial activities,130808542,2293,57047.0,True
Cherokee,2017,Information,31362153,583,53794.0,True
Cherokee,2017,Leisure and hospitality,139348624,8315,16759.0,True
Cherokee,2017,Manufacturing,238387866,4854,49112.0,True
Cherokee,2017,Natural resources and mining,6437993,124,51919.0,True
Cherokee,2017,Other services,80185391,2196,36514.0,True
Cherokee,2017,Professional and business services,289080646,5815,49713.0,True
Cherokee,2017,"Trade, transportation and utilities",499874565,13567,36845.0,True
Cherokee,2018,Construction,271859679,4919,55267.0,True
Cherokee,2018,Education and health services,341875064,7788,43898.0,True
Cherokee,2018,Financial activities,136922230,2232,61345.0,True
Cherokee,2018,Information,40834618,648,63016.0,True
Cherokee,2018,Leisure and hospitality,153737096,9061,16967.0,True
Cherokee,2018,Manufacturing,280124993,5380,52068.0,True
Cherokee,2018,Natural resources and mining,6527350,121,53945.0,True
Cherokee,2018,Other services,80303710,2216,36238.0,True
Cherokee,2018,Professional and business services,301887809,5922,50977.0,True
Cherokee,2018,"Trade, transportation and utilities",515735056,14312,36035.0,True
Cherokee,2019,Construction,275967722,4673,59056.0,True
Cherokee,2019,Education and health services,393958187,8196,48067.0,True
Cherokee,2019,Financial activities,135540943,2160,62750.0,True
Cherokee,2019,Information,37921487,611,62065.0,True
Cherokee,2019,Leisure and hospitality,165817266,9498,17458.0,True
Cherokee,2019,Manufacturing,345379866,6603,52307.0,True
Cherokee,2019,Natural resources and mining,6033825,113,53397.0,True
Cherokee,2019,Other services,89540122,2367,37829.0,True
Cherokee,2019,Professional and business services,449876426,7740,58124.0,True
Cherokee,2019,"Trade, transportation and utilities",534714228,14307,37374.0,True
Cherokee,2020,Construction,298136370,4865,61282.0,True
Cherokee,2020,Education and health services,401110984,8139,49283.0,True
Cherokee,2020,Financial activities,146589126,2152,68118.0,True
Cherokee,2020,Information,37374875,503,74304.0,True
Cherokee,2020,Leisure and hospitality,162978714,8907,18298.0,True
Cherokee,2020,Manufacturing,324383406,5894,55036.0,True
Cherokee,2020,Natural resources and mining,6706050,117,57317.0,True
Cherokee,2020,Other services,87263516,2169,40232.0,True
Cherokee,2020,Professional and business services,530296059,8723,60793.0,True
Cherokee,2020,"Trade, transportation and utilities",570456067,14141,40341.0,True
Cherokee,2021,Construction,323436992,4958,65235.0,True
Cherokee,2021,Education and health services,444157574,8747,50778.0,True
Cherokee,2021,Financial activities,151520513,2249,67372.0,True
Cherokee,2021,Information,45912153,587,78215.0,True
Cherokee,2021,Leisure and hospitality,204240605,10048,20326.0,True
Cherokee,2021,Manufacturing,348143992,6091,57157.0,True
Cherokee,2021,Natural resources and mining,9119726,147,62039.0,True
Cherokee,2021,Other services,99155526,2216,44745.0,True
Cherokee,2021,Professional and business services,354654517,6572,53964.0,True
Cherokee,2021,"Trade, transportation and utilities",625314618,14195,44052.0,True
Cherokee,2022,Construction,395598760,5662,69869.0,True
Cherokee,2022,Education and health services,490058887,9330,52525.0,True
Cherokee,2022,Financial activities,164654777,2323,70880.0,True
Cherokee,2022,Information,45702646,559,81758.0,True
Cherokee,2022,Leisure and hospitality,234778690,10656,22033.0,True
Cherokee,2022,Manufacturing,358896190,6083,59000.0,True
Cherokee,2022,Natural resources and mining,12175979,178,68404.0,True
Cherokee,2022,Other services,130701293,2603,50212.0,True
Cherokee,2022,Professional and business services,402599836,7052,57090.0,True
Cherokee,2022,"Trade, transportation and utilities",700190796,14961,46801.0,True
Cherokee,2023,Construction,474100933,6175,76777.0,True
Cherokee,2023,Education and health services,587185692,10192,57612.0,True
Cherokee,2023,Financial activities,167563532,2435,68815.0,True
Cherokee,2023,Information,50632068,574,88209.0,True
Cherokee,2023,Leisure and hospitality,255998516,11022,23226.0,True
Cherokee,2023,Manufacturing,375386207,6177,60772.0,True
Cherokee,2023,Natural resources and mining,14752912,198,74510.0,True
Cherokee,2023,Other services,149125620,2904,51352.0,True
Cherokee,2023,Professional and business services,462262973,7509,61561.0,True
